iter	Logloss
0	0.3997002626
1	0.2449260858
2	0.179083922
3	0.1299348489
4	0.1041958882
5	0.08742603889
6	0.07989148605
7	0.07253408432
8	0.06739227588
9	0.06613581609
10	0.06279993057
11	0.05420987423
12	0.05211800795
13	0.04908235868
14	0.04296402442
15	0.04086131316
16	0.04021751575
17	0.03953549801
18	0.03863117634
19	0.03775822811
20	0.03482808211
21	0.03330433674
22	0.0319001583
23	0.03185147506
24	0.03105033972
25	0.03057800195
26	0.02987839625
27	0.02973220899
28	0.02920951293
29	0.02757002146
30	0.02737750763
31	0.02653461236
32	0.02609989582
33	0.02589914738
34	0.02520049535
35	0.02494709155
36	0.02488780022
37	0.02471473584
38	0.02446309878
39	0.02439240615
40	0.02304448531
41	0.02010541849
42	0.01981949806
43	0.01960055186
44	0.01752467339
45	0.01703491578
46	0.01688398153
47	0.01543817765
48	0.01501834087
49	0.01482972426
50	0.01455794542
51	0.01437229377
52	0.01429464878
53	0.01418336691
54	0.01370462852
55	0.01352415482
56	0.0133565756
57	0.01333686022
58	0.01300906829
59	0.0129491534
60	0.01179434856
61	0.01176066353
62	0.01164789078
63	0.01158439349
64	0.01148460156
65	0.01130484159
66	0.01128351918
67	0.01033431597
68	0.01016334234
69	0.009944368631
70	0.009924602814
71	0.009813774855
72	0.009718977488
73	0.009630805407
74	0.009572932353
75	0.008613884449
76	0.008587902937
77	0.008522192637
78	0.008480077371
79	0.00843305007
80	0.008368392785
81	0.008295020996
82	0.008112614736
83	0.008048653603
84	0.007811649488
85	0.007687365397
86	0.007652369829
87	0.00760143766
88	0.006931307988
89	0.006897492286
90	0.006858034012
91	0.006816203013
92	0.006779972559
93	0.006779945814
94	0.006769527227
95	0.006759061263
96	0.0067151143
97	0.00659833581
98	0.00655069718
99	0.006509546286
